date,year,doy,srad,tmax,tmin,dtr,z_dtr,ra,kt,exposure,strength,trigger
2021-02-10,2021,41,8.1,8.7,-8.7,17.4,2.6539654029323065,16.95560304203617,0.47771819025950046,2.7873369911576775,0.9999856153366579,1
2021-06-20,2021,171,19.6,31.0,15.0,16.0,2.288196571000925,41.92031484306635,0.46755374031361446,2.064579707954381,0.9997409057937795,1
2021-07-30,2021,211,18.9,33.0,17.0,16.0,2.315242946657345,38.745196438222884,0.48780240487708004,1.9421235223390347,0.9995771504387574,1
2022-06-28,2022,179,20.1,37.0,22.0,15.0,1.937229030992569,41.78771482881243,0.4810026124266825,1.1765175431591741,0.9909597655722105,1
2021-06-08,2021,159,24.7,37.0,20.0,17.0,2.4459813962835453,41.6326527629394,0.5932843179761889,1.1162261808861678,0.9884942080611586,1
2021-05-01,2021,121,19.9,28.0,12.0,16.0,1.854240147503203,36.99090314689456,0.5379701036488651,0.7360048401846822,0.9473463312379031,1
2021-11-03,2021,307,9.9,14.0,-2.0,16.0,2.096148296690527,15.978946637371646,0.6195652457369015,0.5599451717497709,0.8935181453262607,1
2021-06-05,2021,156,19.9,32.0,17.0,15.0,1.596382804100681,41.469653337794504,0.4798689740158399,0.43229948152329223,0.8225733377900186,1
2022-03-02,2022,61,14.7,10.0,-5.0,15.0,1.6977075065178269,21.82556739600798,0.6735220089943097,0.07882696679905496,0.2704357692035445,1
2021-04-28,2021,118,24.9,28.0,12.0,16.0,1.8540223773463171,36.40221255211274,0.6840243560567538,0.07253299842750902,0.2518351919878401,1
2021-04-21,2021,111,23.8,21.0,6.0,15.0,1.6589774885764803,34.92016818702983,0.6815545638992621,0.04776952717067048,0.17393193745694935,1
2021-02-19,2021,50,13.2,18.7,2.8,15.899999999999999,2.0563042176732567,19.02564363638312,0.6938004438786699,0.040687948301309694,0.15019791110729286,1
2021-07-10,2021,191,27.9,39.0,25.0,14.0,1.5424381439959314,41.10804391423438,0.6786992846998282,0.030340343531422034,0.11428617230742566,1
2022-06-29,2022,180,28.5,35.0,21.0,14.0,1.4528014917109902,41.752984074433996,0.6825859428200964,0.009194881958393858,0.03611137746275983,1
2021-01-01,2021,1,6.2,-11.0,-18.0,7.0,-1.4898188148637739,11.393890925027058,0.544151250946373,0.0,0.0,0
2021-01-02,2021,2,3.9,-12.0,-17.0,5.0,-2.286700395209174,11.44933677492661,0.34063108428610256,0.0,0.0,0
2021-01-03,2021,3,5.0,-13.0,-20.0,7.0,-1.4898188148637739,11.509288981651551,0.4344317019036665,0.0,0.0,0
2021-01-04,2021,4,6.7,-17.0,-24.0,7.0,-1.4898188148637739,11.573741104521096,0.5788966540285537,0.0,0.0,0
2021-01-05,2021,5,6.6,-21.0,-25.0,4.0,-2.685141185381874,11.642685892527236,0.566879503657842,0.0,0.0,0
2021-01-06,2021,6,6.3,-20.0,-26.0,6.0,-1.888259605036474,11.716115237169033,0.5377208974535718,0.0,0.0,0
