solar_date,year,dtr_c,clouds,sunset_reduction_c,ts_capped_at_tmin,rise_monotonic,postpeak_to_midnight_monotonic,midnight_to_tmin_monotonic,below_tmin_c,above_tmax_c
2000-05-06,2000,24.2,0.7512667661445572,18.376324774765067,YES,YES,YES,YES,0.0,0.0
2000-05-09,2000,16.2,0.2681411423637039,2.931633141513224,NO,YES,YES,YES,0.0,0.0
2000-05-17,2000,15.3,0.14641862075560697,0.571721398767199,NO,YES,YES,YES,0.0,0.0
2000-05-18,2000,15.7,0.07865306167998276,0.5528104880110014,NO,YES,YES,YES,0.0,0.0
2000-05-22,2000,18.3,0.6019966871732392,13.573201161226201,YES,YES,YES,YES,0.0,0.0
2000-06-06,2000,16.1,0.10505461744741784,1.0665387268538105,NO,YES,YES,YES,0.0,0.0
2000-08-24,2000,15.9,0.7675416138448208,6.593450465470919,NO,YES,YES,YES,0.0,0.0
2000-09-04,2000,15.5,0.0,0.0,NO,YES,YES,YES,0.0,0.0
2000-09-20,2000,15.3,0.46930609699413217,1.8325014730968547,NO,YES,YES,YES,0.0,0.0
2000-09-26,2000,16.5,0.45161171909545395,5.9955945506711465,NO,YES,YES,YES,0.0,0.0
2001-05-14,2001,15.6,0.03781006108998719,0.2362193650210358,NO,YES,YES,YES,0.0,0.0
2001-05-25,2001,14.9,0.041773263396995164,0.0326224471411507,NO,YES,YES,YES,0.0,0.0
2001-06-03,2001,21.1,0.6966330937986035,15.473328658001545,YES,YES,YES,YES,0.0,0.0
2001-06-08,2001,18.2,0.8001763866753858,13.298952840335195,YES,YES,YES,YES,0.0,0.0
2001-06-11,2001,15.6,0.1877970188537943,1.1732668836717188,NO,YES,YES,YES,0.0,0.0
2001-06-12,2001,18.5,0.5180689548182524,13.489930048605242,YES,YES,YES,YES,0.0,0.0
2001-06-20,2001,16.9,0.10350785590503186,1.697503736856092,NO,YES,YES,YES,0.0,0.0
2001-08-12,2001,15.3,0.17726757537272497,0.6921774404454126,NO,YES,YES,YES,0.0,0.0
2002-09-07,2002,18.4,0.49507965285471744,13.91860500548503,NO,YES,YES,YES,0.0,0.0
2002-09-14,2002,15.7,0.05741644848892824,0.4035496423288123,NO,YES,YES,YES,0.0,0.0
2003-06-23,2003,15.8,0.8260314261261409,6.450816705325607,NO,YES,YES,YES,0.0,0.0
2004-05-03,2004,15.3,0.029972814037891315,0.11703497190657686,NO,YES,YES,YES,0.0,0.0
2004-05-17,2004,15.3,0.03154411738066054,0.12317044661860166,NO,YES,YES,YES,0.0,0.0
